id,floor,max_floor,size,rent,maintenance_fee,deposit,key_money,layout,year_built,nearest_station,location,url
7979,2,2,20.48,81000,8000,81000,0,1K,2006,3,Minamiyukigaya| Ota-ku| Tokyo,http://www.realestate.co.jp/rent/view/474856
9550,1,3,41.04,122000,4540,122000,0,2DK,1994,6,Sengoku| Bunkyo-ku| Tokyo,http://www.realestate.co.jp/rent/view/365784
12272,1,1,87.0,349000,15000,698000,0,1LDK,2003,8,Higashi| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/495015
14008,6,10,16.48,69000,0,69000,0,1K,1991,5,Motoasakusa| Taito-ku| Tokyo,http://www.realestate.co.jp/rent/view/255894
17749,2,7,47.13,150000,10000,150000,150000,1DK,1991,1,Azabujuban| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/135702
22463,28,28,119.38,990000,0,2970000,0,3LDK,2000,2,Shiba(1-3-chome)| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/268164
15577,8,8,58.77,255000,12000,510000,0,1LDK,2008,5,Ebisunishi| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/252624
21967,2,8,59.33,270000,15000,540000,270000,2LDK,2012,4,Ebisuminami| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/304914
19434,3,5,50.89,150000,3000,150000,150000,2LDK,2012,4,Kamiochiai| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/293107
10944,4,5,36.72,109000,3000,0,0,1LDK,2014,8,Hommachi| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/357923
7917,6,15,30.21,145000,0,290000,145000,1K,2004,2,Nihombashikakigaracho| Chuo-ku| Tokyo,http://www.realestate.co.jp/rent/view/370201
19337,3,3,42.14,250000,0,500000,0,2LDK,2004,5,Tomigaya| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/224847
16130,1,3,20.28,65500,7500,0,0,1K,2002,13,Nakamachi| Machida-shi| Tokyo,http://www.realestate.co.jp/rent/view/238967
20115,13,13,38.8,169000,0,338000,0,1LDK,1999,5,Roppongi| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/409165
15667,1,1,25.36,77500,12000,0,0,1K,2013,6,Kaminoge| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/195889
15954,1,2,31.03,100000,4000,100000,0,1K,2011,8,Otsuka| Bunkyo-ku| Tokyo,http://www.realestate.co.jp/rent/view/243027
